title,rank,date,artist,url,region,chart,trend,streams
Love on Me,137,2017-01-01,"Galantis, Hook N Sling",https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF,Global,top200,MOVE_DOWN,441050
Can't Hold Us - feat. Ray Dalton,138,2017-01-01,Macklemore & Ryan Lewis,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,Global,top200,MOVE_UP,440038
Me llamas (feat. Maluma) - Remix,139,2017-01-01,Piso 21,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,Global,top200,MOVE_UP,439910
Lighthouse - Andrelli Remix,140,2017-01-01,Hearts & Colors,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,Global,top200,MOVE_DOWN,439245
Thinking out Loud,141,2017-01-01,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Global,top200,SAME_POSITION,436476
I Want You Back,142,2017-01-01,The Jackson 5,https://open.spotify.com/track/3b0EOvScbZUc0qJx0E1L2z,Global,top200,MOVE_UP,436184
Weak,143,2017-01-01,AJR,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,Global,top200,MOVE_UP,428247
Stitches,144,2017-01-01,Shawn Mendes,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q,Global,top200,MOVE_DOWN,426162
Neighbors,145,2017-01-01,J. Cole,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy,Global,top200,MOVE_UP,425033
Dancing On My Own,146,2017-01-01,Calum Scott,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ,Global,top200,MOVE_DOWN,420756
iSpy (feat. Lil Yachty),147,2017-01-01,KYLE,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,Global,top200,MOVE_UP,418210
Dynamite (feat. Pretty Sister),148,2017-01-01,Nause,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg,Global,top200,MOVE_DOWN,413497
Ain't No Mountain High Enough,149,2017-01-01,"Marvin Gaye, Tammi Terrell",https://open.spotify.com/track/2H3ZUSE54pST4ubRd5FzFR,Global,top200,MOVE_UP,413039
Ain't My Fault,150,2017-01-01,Zara Larsson,https://open.spotify.com/track/0ADG9OgdVTL7fgREP75BrZ,Global,top200,MOVE_DOWN,411636
Gold,151,2017-01-01,Kiiara,https://open.spotify.com/track/6WhzFzROw3aq3rPWjgYlxr,Global,top200,MOVE_UP,410605
Low Life (feat. The Weeknd),152,2017-01-01,Future,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX,Global,top200,MOVE_UP,409112
Gyal You A Party Animal - Remix,153,2017-01-01,"Charly Black, Daddy Yankee",https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I,Global,top200,MOVE_DOWN,406113
Some Kind Of Drug (feat. Marc E. Bassy),154,2017-01-01,G-Eazy,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,Global,top200,MOVE_UP,403095
Hasta el Amanecer,155,2017-01-01,Nicky Jam,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS,Global,top200,MOVE_UP,400584
Can't Feel My Face,156,2017-01-01,The Weeknd,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,Global,top200,MOVE_DOWN,398209
Love On The Brain,157,2017-01-01,Rihanna,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,Global,top200,MOVE_DOWN,397058
Desde Esa Noche (feat. Maluma),158,2017-01-01,Thalia,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E,Global,top200,NEW_ENTRY,396612
Reminder,159,2017-01-01,The Weeknd,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,Global,top200,MOVE_UP,396409
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",160,2017-01-01,Maluma,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,Global,top200,MOVE_UP,393026
My House,161,2017-01-01,Flo Rida,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1,Global,top200,MOVE_UP,391880
No Role Modelz,162,2017-01-01,J. Cole,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,Global,top200,NEW_ENTRY,389511
The Hills,163,2017-01-01,The Weeknd,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,Global,top200,MOVE_UP,389467
Swang,164,2017-01-01,Rae Sremmurd,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL,Global,top200,MOVE_UP,387386
Don't Stop Me Now - Remastered 2011,165,2017-01-01,Queen,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,Global,top200,MOVE_UP,387160
Let Me Hold You (Turn Me On),166,2017-01-01,"Dante Klein, Cheat Codes",https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU,Global,top200,MOVE_DOWN,385235
Uptown Funk (feat. Bruno Mars),167,2017-01-01,Mark Ronson,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,Global,top200,MOVE_DOWN,385214
La Gozadera (feat. Marc Anthony),168,2017-01-01,Gente De Zona,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,Global,top200,NEW_ENTRY,377647
Say It (feat. Tove Lo),169,2017-01-01,Flume,https://open.spotify.com/track/4sQMalN597HdggTu196aL0,Global,top200,MOVE_DOWN,373311
